1,-0.500,-0.500,1.348
2,-0.376,0.203,0.850
3,-0.387,0.426,0.818
4,0.120,0.466,0.309
5,-0.482,0.319,0.925
6,-0.162,-0.183,0.886
7,-0.319,0.284,0.772
8,-0.184,-0.308,0.996
9,0.087,-0.193,0.752
10,0.104,-0.230,0.778
11,-0.124,-0.035,0.754
12,-0.461,-0.277,1.166
13,0.424,0.252,0.225
14,0.076,-0.359,0.907
15,-0.372,0.350,0.811
16,-0.293,0.414,0.725
17,-0.148,-0.208,0.896
18,0.361,-0.011,0.493
19,0.432,-0.448,0.925
20,-0.225,0.419,0.657
21,0.190,0.152,0.403
22,-0.106,0.046,0.687
23,0.121,0.081,0.502
24,0.379,-0.131,0.610
25,-0.348,0.436,0.778
26,0.460,-0.367,0.845
27,0.252,0.078,0.436
28,-0.431,-0.009,0.988
29,0.437,-0.076,0.553
30,-0.314,-0.064,0.919
31,-0.445,-0.411,1.246
32,-0.236,0.030,0.801
33,0.054,0.283,0.422
34,0.259,-0.095,0.597
35,-0.440,0.045,0.970
36,-0.167,-0.017,0.774
37,0.326,0.322,0.186
38,0.118,-0.100,0.655
39,-0.221,0.464,0.650
40,-0.353,-0.431,1.198
41,-0.211,0.073,0.757
42,-0.387,0.081,0.907
43,0.285,-0.435,0.923
44,0.040,0.284,0.434
45,0.207,-0.251,0.761
46,0.290,-0.507,0.994
47,0.429,0.075,0.402
48,-0.371,-0.361,1.159
49,0.284,0.411,0.159
50,0.298,0.489,0.132
51,-0.385,0.078,0.907
52,-0.170,-0.061,0.805
53,0.487,-0.308,0.787
54,-0.333,-0.393,1.157
55,-0.304,-0.452,1.183
56,0.127,-0.265,0.801
57,0.154,0.255,0.353
58,-0.481,-0.220,1.146
59,-0.121,-0.091,0.791
60,0.326,0.103,0.388
61,0.110,-0.110,0.668
62,0.143,-0.408,0.930
63,-0.266,-0.451,1.159
64,-0.139,-0.005,0.745
65,-0.124,0.223,0.609
66,-0.427,-0.073,1.017
67,0.260,-0.073,0.575
68,0.119,0.003,0.566
69,-0.109,0.086,0.665
70,-0.466,-0.147,1.091
71,0.427,-0.334,0.811
72,0.140,0.147,0.439
73,-0.375,0.473,0.804
74,-0.335,0.068,0.867
75,0.188,-0.205,0.723
76,-0.137,0.012,0.733
77,0.168,0.133,0.432
78,0.009,0.245,0.480
79,0.429,0.477,0.000
