1,2,0.714
2,3,0.223
3,4,0.509
3,5,0.143
2,6,0.441
2,7,0.099
6,8,0.127
6,9,0.249
9,10,0.041
6,11,0.153
1,12,0.226
4,13,0.372
10,14,0.132
7,15,0.085
3,16,0.095
6,17,0.029
13,18,0.270
14,19,0.367
16,20,0.068
18,21,0.236
11,22,0.083
21,23,0.099
18,24,0.121
3,25,0.040
19,26,0.086
21,27,0.097
2,28,0.219
24,29,0.080
28,30,0.129
1,31,0.105
30,32,0.122
21,33,0.189
24,34,0.125
28,35,0.055
11,36,0.047
13,37,0.120
9,38,0.098
20,39,0.045
31,40,0.094
32,41,0.050
35,42,0.064
19,43,0.148
33,44,0.014
10,45,0.105
43,46,0.072
18,47,0.110
40,48,0.072
37,49,0.098
49,50,0.079
42,51,0.004
11,52,0.053
26,53,0.065
40,54,0.043
40,55,0.053
10,56,0.042
33,57,0.104
12,58,0.060
52,59,0.057
27,60,0.078
38,61,0.013
14,62,0.083
55,63,0.038
11,64,0.034
44,65,0.175
28,66,0.064
34,67,0.022
23,68,0.078
22,69,0.040
58,70,0.075
26,71,0.047
21,72,0.050
25,73,0.046
51,74,0.051
45,75,0.050
64,76,0.017
72,77,0.031
44,78,0.050
50,79,0.132
