0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000
0.015230,-0.924527,-0.089246,0.016861,0.008246,-0.003139
0.051275,-0.676602,-0.398579,0.086158,0.027905,-0.011573
0.081919,-0.232683,-0.913157,0.165033,0.044785,-0.020719
0.079640,0.390989,-1.355324,-0.011627,0.043463,-0.025491
0.019423,1.070717,-1.220784,-0.829228,0.009792,-0.020862
-0.097399,1.280775,0.203672,-2.479374,-0.054443,-0.007525
-0.496480,1.752349,1.128789,-3.840969,-0.274417,-0.097026
-0.634774,2.646643,0.578016,-4.129730,-0.353046,-0.187703
-0.639248,3.521498,-0.620108,-3.741337,-0.353546,-0.254699
-0.588335,4.097172,-1.266540,-3.596510,-0.316977,-0.317829
-0.493158,4.519777,-1.692470,-3.519239,-0.245734,-0.377920
-0.326677,4.896951,-2.146295,-3.369030,-0.114862,-0.441707
-0.096680,5.311938,-2.703155,-3.152270,0.074446,-0.529160
0.061667,5.861870,-3.379558,-2.951533,0.210319,-0.633452
0.089084,6.577421,-4.384287,-2.595887,0.234560,-0.721673
-0.159480,7.707459,-6.685910,-1.354521,0.004674,-0.801884
-0.630370,8.763963,-8.583708,-0.451305,-0.438748,-0.924321
-0.694785,9.637996,-9.369249,-0.478586,-0.499540,-1.022307
-0.553886,10.334293,-9.843552,-0.628116,-0.360639,-1.114976
-0.269817,10.862587,-10.259290,-0.665512,-0.078175,-1.219605
-0.061802,11.337988,-10.669397,-0.655783,0.130316,-1.332856
0.036599,11.880501,-11.199489,-0.593328,0.229638,-1.444135
0.070241,12.657137,-12.274017,-0.222821,0.264270,-1.552177
-0.012365,13.706308,-13.725965,0.224113,0.184476,-1.637204
-0.409247,14.597286,-13.813704,-0.553209,-0.201166,-1.700434
-0.584333,14.668000,-12.074680,-2.357838,-0.370500,-1.731304
-0.611597,14.936844,-10.808997,-3.847718,-0.395955,-1.807312
-0.628314,15.612636,-10.463085,-4.802029,-0.411114,-1.904220
-0.562457,16.218459,-10.422946,-5.379065,-0.350088,-2.014091
-0.407351,16.696473,-10.383322,-5.829005,-0.211701,-2.134136
-0.181903,17.149889,-10.272021,-6.330512,-0.017904,-2.243050
0.055965,17.705298,-10.205782,-6.896668,0.179561,-2.314062
0.190295,18.416879,-10.428428,-7.332454,0.288417,-2.366998
